CHARTER,SNAME,DNAME,CNAME,API12B,ST_RANK,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED
,William Faria Elementary,Cupertino Union,Santa Clara,998,10,0,1,96,0,0,0,3,0,1,0,0,0,26,3,26,33,N/A,95,1,1,1,22,76,4.72
,Millikin Elementary,Santa Clara Unified,Santa Clara,998,10,0,0,74,2,4,0,18,2,6,4,0,26,32,4,30,33,N/A,100,0,2,9,33,56,4.44
,Manchester Gate,Fresno Unified,Fresno,998,10,4,1,11,1,35,1,48,0,40,99,0,0,11,2,31,32,N/A,84,5,8,29,26,32,3.71
,Murdock-Portal Elementary,Cupertino Union,Santa Clara,997,10,0,1,95,0,0,0,5,0,1,0,0,0,33,3,23,30,N/A,99,0,0,0,14,85,4.85
,Mission San Jose Elementary,Fremont Unified,Alameda,996,10,0,1,91,0,1,0,4,2,2,23,0,8,26,3,27,30,N/A,99,0,1,3,22,74,4.68
,Herbert Hoover Elementary,Palo Alto Unified,Santa Clara,995,10,3,0,73,1,3,0,12,8,4,5,2,12,18,6,27,24,N/A,100,0,2,2,14,83,4.77
,Gretchen Whitney High,ABC Unified,Los Angeles,995,10,2,0,71,11,8,1,5,1,19,78,2,0,24,1,N/A,N/A,30,94,3,5,9,41,42,4.14
,Oxford Academy,Anaheim Union High,Orange,995,10,2,0,61,10,15,1,11,0,34,69,0,0,47,0,N/A,N/A,32,60,4,8,19,44,25,3.78
D,Bullis Charter,Santa Clara County Office of E,Santa Clara,994,10,0,0,30,0,5,0,50,14,1,0,0,1,1,8,20,23,17,100,0,0,1,10,89,4.88
,Elkhorn,Lodi Unified,San Joaquin,994,10,3,0,33,13,21,1,28,0,40,100,0,2,22,2,N/A,32,34,85,7,12,23,35,23,3.54
D,Oxford Preparatory Academy - South Orang,Capistrano Unified,Orange,993,10,2,1,7,3,9,0,71,4,16,6,0,1,1,6,29,32,N/A,88,0,1,9,40,51,4.4
,John Gomes Elementary,Fremont Unified,Alameda,990,10,1,0,93,0,1,0,4,1,2,22,0,10,24,4,28,30,N/A,99,0,2,2,21,74,4.67
,Torrey Pines Elementary,San Diego Unified,San Diego,990,10,1,0,16,2,14,0,58,10,8,48,0,10,12,6,24,24,N/A,97,1,0,7,26,66,4.56
,North Star Academy,Redwood City Elementary,San Mateo,990,10,1,0,9,3,22,0,64,1,13,19,1,1,14,4,31,30,28,99,6,6,12,28,48,4.08
,North Hillsborough,Hillsborough City Elementary,San Mateo,989,10,0,0,19,1,3,1,75,0,0,3,0,1,3,10,17,22,N/A,97,0,1,5,37,57,4.5
,Chin (John Yehall) Elementary,San Francisco Unified,San Francisco,989,10,1,0,88,1,1,1,5,2,84,15,0,76,8,4,21,27,N/A,96,17,47,11,22,3,2.47
,Nelson S. Dilworth Elementary,Cupertino Union,Santa Clara,988,10,0,0,92,1,1,0,6,0,1,0,0,2,34,9,20,29,N/A,95,0,1,2,15,82,4.78
,Tom Matsumoto Elementary,Evergreen Elementary,Santa Clara,988,10,1,0,85,5,3,0,4,0,4,14,0,7,19,5,24,31,N/A,100,1,1,6,27,64,4.52
