Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,About right,About right,Too much,Too little,About right,About right,About right,Too little,Too much,Too much,Too little,1,Too little,Too little,About right,About right,Too little,Too much,About right,Ballot a
2016,Don't know,Too little,Don't know,Too little,Too much,Too little,Don't know,Too little,Don't know,Too much,Too little,2,Don't know,Don't know,Too little,Don't know,Too much,Too little,Too little,Ballot b
2016,Don't know,Too little,Too little,Don't know,About right,Don't know,Don't know,Too little,Too much,Don't know,About right,3,Too little,About right,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Too much,About right,Too little,Too much,Too little,Too much,Too little,Too little,Too much,Too little,About right,4,About right,About right,Too much,About right,About right,Too little,Too little,Ballot a
2016,Not applicable,Too little,About right,Too little,Too much,Don't know,About right,About right,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too much,Too much,Too little,6,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Too much,Too little,About right,Too little,About right,About right,Too little,Too little,About right,Too little,Too little,7,About right,About right,About right,About right,Too little,Too little,Too little,Ballot a
2016,Too much,About right,Too little,Too much,About right,Too little,Too much,About right,About right,About right,About right,8,About right,Too little,About right,Too little,About right,Too much,Too little,Ballot c
2016,Too much,Too little,About right,About right,Too little,Too little,Don't know,Too little,About right,About right,Don't know,9,About right,Too little,About right,About right,About right,About right,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too much,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
