text,topic
"An act to amend Section 44277 of the Education Code, relating to teachers.",Education
"An act to add Section 8314.4 to the Government Code, relating to public funds.",Public Services
"An act to amend Sections 226, 233, and 234 of, and to add Article 1.5 (commencing with Section 245) to Chapter 1 of Part 1 of Division 2 of, the Labor Code, relating to employment.",Labor and Employment
"An act to amend Sections 12920, 12921, 12926, 12940, and 12955.2 of the Government Code, relating to employment.",Labor and Employment
"An act to amend Section 186.8 of, and to add Section 236.4 to, the Penal Code, relating to human trafficking.",Crime
"An act to amend Section 13823.17 of the Penal Code, relating to domestic violence.",Social Issues
"An act to add Sections 5017.1, 5017.5, and 5103.5 to the Business and Professions Code, relating to accountants.",Business and Consumers
"An act to add Section 15817.5 to the Government Code, relating to state buildings.",Housing and Property
"An act to amend Section 35012 of the Education Code, relating to governing boards.",Education
"An act to amend Sections 8869.82, 91501, 91502, 91502.1, 91503, 91504, 91527, 91530, 91531, 91533, 91538, 91539, 91541, 91555, 91559, 91571, and 91573 of the Government Code, relating to bonds, and declaring the urgency thereof, to take effect immediately.",Commerce
"An act to amend Section 3010 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 2069 and 2099 of, and to add Section 2840 to, the Fish and Game Code, and to amend Section 25524 of, to add Section 25619 to, and to add and repeal Sections 21081.8 and 21097.5 of, the Public Resources Code, relating to renewable energy resources, and making an appropriation therefor.",Energy
"An act to add Section 3021 to the Penal Code, relating to corrections.",Military
"An act to add Section 381c to the Penal Code, relating to nitrous oxide.",Legal Issues
"398.5, 399.2.5, 399.8, 399.11, 399.12, 399.12.5, 399.13, 399.15, 399.16, 399.17, 454.5, 464, 848.1, 1001, 1731, 1768, 1822, 2774.6, 2826.5, 2827, and 9502 of, to add Sections 322, 345.1, 345.2, and 411 to, to repeal Sections 346, 350, 360, 365 of, and to repeal Article 2 (commencing with Section 334) of Chapter 2.3 of Part 1 of Division 1 of, the Public Utilities Code, relating to energy.",Energy
"An act to add and repeal Section 680.1 of the Penal Code, relating to sexual assault crimes.",Crime
"An act to amend Sections 13308 and 13337 of, and to add Section 13308.1 to, the Government Code, relating to state finance.","Budget, Spending, and Taxes"
"An act to add Division 10.56 (commencing with Section 11972.10) to the Health and Safety Code, relating to alcohol abuse programs, and making an appropriation therefor.",Other
"An act to add Section 5006.43 to the Public Resources Code, relating to parks.",Environmental
"An act to amend Section 18942 of, and to add Sections 116064.1 and 116064.2 to, the Health and Safety Code, relating to swimming pools.",Public Services
"An act to amend Section 399.20 of the Public Utilities Code, relating to energy.",Energy
"An act to amend Section 179 of the Government Code, relating to state government.",Public Services
"An act to add Section 25785 to the Public Resources Code, relating to energy.",Energy
"An act to add and repeal Section 6398 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Commerce
