Owner,First Priority Title Llc,F4300
SENIOR PARTNER,ARES MANAGEMENT,Z9500
CEO,HB AGENCY,Z9500
AKERS & ARMEY INSURANCE,,F3100
OWNER,OPTIONCARE,Y4000
VI,NATIONAL COUNCIL OF JEWISH WOMEN,J5100
AESTHETIC & RECONSTRUCTIV,,H1000
MINER,MCCOY ELKHORN COAL CORPORATION,E1210
VICE PRESIDENT,BAYSTATE HEALTH,H0000
CHIEF EXEC OFF,LARTA INST/CHIEF EXEC OFF,Y4000
WUHN-AM/WEINER/PRESIDENT,,C2100
Teacher,C N U,Y4000
"consultant, private investigator",CJ Consultants/Self,Y4000
BAY AREA PLASTIC SURGERY ASSOC,,H1130
ATTORNEY,FULLENWEIDER & WILHITE,K1000
WENDLING NOE NELSON & JOHNSO,,Y4000
CHAIR,SAMISH NATION,Y4000
HYDRA POWER SYSTEMS,,Y4000
BENEFIT COMMUNICATIONS INC,,F4200
Physician,Team Radiology,H1130
LAWYER,LLOYD W KENDALLS JR,Y4000
"BARNES INT'L INC",,Y4000
PROBATE JUDGE,STATE OF CT,X3000
EXECUTIVE,AMERITRADE WORLDWIDE INC.,Y4000
BAKER OWNER,,G2100
PRESIDENT,FORMULA FRANCHISING ITALIANO,Y4000
HUSCH BLACKWELL SANDERS LLP,,K1000
N/A,American Airlines,T1100
UNION REPRESENTATIVE,UFCW LOCAL 1036 P.O. BOX 2878,J1200
GENERAL MANAGER,GTECH CORPORATION,G6500
OWNER,OUALIE BEACH HOTEL,T9100
VICE PRESIDENT,NORFOLK SOUTHERN CORP,Z9500
POWER ROGERS SMITH,,K1000
ENGINEER,CDI CORP.,G5250
ATTORNEY,"MARION'S INN LLP",Y4000
N/A/RETIRED HOUSEKEEPER,,X1200
PLUM AR TIMBER,,A5000
SIGMAN LAW FIRM,,K1000
BUSINESS,SHADETREE AV,Y4000
BEAR ENTERPRISES,,Y4000
FINANCE DIRECTOR,SHAYS FOR SENATE,J1100
ATTORNEY,"KLEHR, HARRISON, HARVEY, BRANZBUG, & E",K1000
lawyer,"Keenan Law Firm, PA",Z9500
THE FAY COMPANY,,Y4000
Attorney,Reiner & Reiner PA,Y4000
EXECUTIVE VP,"NBC UNIVERSAL, INC.",C2300
SALES REP,CERTIFIED HEATING SYSTEMS,B3400
Graphic Designer,Colorado Print & Digital,C1300
TREASURER,TECHSPEC INC,Y4000
Economic development,Self employed,F5000
YUMA HEART INSTITUTE,,Y4000
Political,MSNBC,C2300
PRESIDENT & CEO,ALTIOSTAR NETWORKS,Y4000
PETROLEUM INDUSTRY,REQUESTED,E1120
President,Quincy Recycle Paper,M2400
ATTORNEY,COOLEY GODDARD,K1000
PR consultant,self,Z9500
INVESTMENT MANAGER,COWEN GROUP INC,Z9500
Director,Seven Acres Jewish Sr Care,Y4000
EXECUTIVE,"MAX-FRANCE, INC.",Y4000
PHYSICIAN,C.C.A.,H1100
"Vice President, Sales","Plastic Safety Systems, Inc",Y4000
PARTNER,POWELL POWELL & POWELL,K1000
43rd St Conarte,,Y4000
Owner,Designs By Maida,G5000
R.F.O.A.,,Y4000
Insurance,PROTECTIVE LIFE CORP,F3300
Physician,Surgical Associates of SW Ohio,H1130
PHYSICIAN,VANDERBILIT UNIVERSITY,H5100
Office Manager,Independent Radio Services,C2100
President,John Veleris & Assocs. Inc.,Y4000
Physician,Woodland Radiology,H1130
TRI-UNION INTERNATIONAL LLC,,Y4000
Counselor/Mental Health,Self employed,Y4000
Editor,Oxford University Press,C1100
FASHIONISTA,LOUIS VUITTON,Y4000
CEO,Chester Perfetto Agency Inc,Y4000
C.E.O.,AKERS PACKAGING SERVICE INC.,M7100
COTTO ENERGY,,Y4000
QUEEN CITY STEEL,,M2100
Policy Director,Nevada Conservation League,Y4000
Attorney,Frank and Gramling,K1000
CAMARA DE COMERCIO DE PUERTO RICO,,G1100
PRESIDENT,JB HAMLIN,Y4000
SAM SAAD & ASS,,Y4000
Attorney,Metropolitan Museum,X4200
NBSC BANK,,F1000
WENGER FEED MILL,,A2300
Program Director,J Paul Getty Trust,X4100
PHYSICIAN,UNITY HEALTH,H0000
Church Worker / Music,LA Open Door Church Director,X7000
MMIC-MN,,F3100
ATTORNEY,CNMC,Y4000
Software Developer,Mimosa Systems,C5120
Producer,Caps Universal,Y4000
"DOMINICK'S",,G2400
OWNER,SCHRYVER MEDICAL CO.,Y4000
PIPE FITTER,WESTCON INDUSTRIES,Y4000
PRESIDENT,DETROIT INTERNATIONAL BRIDGE CO.,T3100
FARMER/OWNER,BENEVEDES FARMS,A1000
DERMATOLOGIST,ROBERT DEANGELIS MD LTD,H1100
Deputy Voter File Manager,Ohio Campaign for Change,Y4000
