"YEAR","MONTH","DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2015,5,1,"AA","44","LAS","JFK",-6.00,-17.00,0.00,"",0.00,294.00,273.00,2248.00,,,,,,
2015,5,2,"AA","44","LAS","JFK",-8.00,-14.00,0.00,"",0.00,299.00,280.00,2248.00,,,,,,
2015,5,3,"AA","44","LAS","JFK",0.00,-11.00,0.00,"",0.00,294.00,274.00,2248.00,,,,,,
2015,5,4,"AA","44","LAS","JFK",-11.00,4.00,0.00,"",0.00,320.00,275.00,2248.00,,,,,,
2015,5,5,"AA","44","LAS","JFK",-4.00,-18.00,0.00,"",0.00,291.00,270.00,2248.00,,,,,,
2015,5,6,"AA","44","LAS","JFK",-5.00,-6.00,0.00,"",0.00,304.00,279.00,2248.00,,,,,,
2015,5,7,"AA","44","SEA","JFK",-2.00,-11.00,0.00,"",0.00,319.00,297.00,2422.00,,,,,,
2015,5,8,"AA","44","SEA","JFK",-3.00,-15.00,0.00,"",0.00,316.00,293.00,2422.00,,,,,,
2015,5,9,"AA","44","SEA","JFK",-6.00,5.00,0.00,"",0.00,339.00,307.00,2422.00,,,,,,
2015,5,10,"AA","44","SEA","JFK",38.00,31.00,0.00,"",0.00,321.00,301.00,2422.00,0.00,31.00,0.00,0.00,0.00,
2015,5,11,"AA","44","SEA","JFK",-2.00,-11.00,0.00,"",0.00,319.00,291.00,2422.00,,,,,,
2015,5,12,"AA","44","SEA","JFK",19.00,-10.00,0.00,"",0.00,299.00,283.00,2422.00,,,,,,
2015,5,13,"AA","44","SEA","JFK",-1.00,-10.00,0.00,"",0.00,319.00,287.00,2422.00,,,,,,
2015,5,14,"AA","44","SEA","JFK",175.00,157.00,0.00,"",0.00,310.00,291.00,2422.00,157.00,0.00,0.00,0.00,0.00,
2015,5,15,"AA","44","SEA","JFK",-1.00,-8.00,0.00,"",0.00,321.00,295.00,2422.00,,,,,,
2015,5,16,"AA","44","SEA","JFK",0.00,5.00,0.00,"",0.00,333.00,303.00,2422.00,,,,,,
2015,5,17,"AA","44","SEA","JFK",-4.00,7.00,0.00,"",0.00,339.00,313.00,2422.00,,,,,,
2015,5,18,"AA","44","SEA","JFK",-5.00,-10.00,0.00,"",0.00,323.00,300.00,2422.00,,,,,,
2015,5,19,"AA","44","SEA","JFK",-4.00,-24.00,0.00,"",0.00,308.00,280.00,2422.00,,,,,,
2015,5,20,"AA","44","SEA","JFK",-1.00,-8.00,0.00,"",0.00,321.00,291.00,2422.00,,,,,,
