Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
48.0	31.0	12.0	7.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
53.0	41.0			7.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
47.0	31.0	13.0	6.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
46.0	33.0	13.0	6.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
46.0	35.0	11.0	5.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	334		Internet	Nonpartisan	None
47.0	35.0	12.0	3.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	303		Internet	Nonpartisan	None
46.0	37.0	14.0	1.0	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	268		Internet	Nonpartisan	None
46.0	38.0	13.0	2.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	300		Internet	Nonpartisan	None
47.0	39.0	11.0	2.0	1.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	294		Internet	Nonpartisan	None
55.0	41.0			4.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	304		Internet	Nonpartisan	None
45.0	33.0	16.0	4.0	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	448		Internet	Nonpartisan	None
43.0	47.0	7.0	3.0		craciun-research-d-26551	Craciun Research (D)	2016-10-21	2016-10-26	If the election were held today, which of the following presidential candidates would you be voting for?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
46.0	31.0	16.0	5.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	462		Internet	Nonpartisan	None
46.0	31.0	16.0	5.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	443		Internet	Nonpartisan	None
47.0	29.0	17.0	5.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	388		Internet	Nonpartisan	None
55.0	41.0			5.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
54.0	41.0		5.0		upi-cvoter-26289	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	304		Internet	Nonpartisan	None
53.0	41.0		5.0		upi-cvoter-26023	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	305		Internet	Nonpartisan	None
37.0	34.0	10.0	2.0	18.0	moore-r-murkowski-26094	Moore (R-Murkowski)	2016-10-05	2016-10-06		Likely Voters	500	4.0	Live Phone	Sponsor	Rep
46.0	42.0			12.0	alaska-survey-research-alaska-dispatch-news-26166	Alaska Survey Research/Alaska Dispatch News	2016-09-28	2016-10-02		Registered Voters	660	3.8	Live Phone	Nonpartisan	None
36.0	31.0	18.0	6.0	9.0	alaska-survey-research-alaska-dispatch-news-26166	Alaska Survey Research/Alaska Dispatch News	2016-09-28	2016-10-02		Registered Voters	660	3.8	Live Phone	Nonpartisan	None
55.0	40.0		5.0		upi-cvoter-25899	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	457		Internet	Nonpartisan	None
55.0	40.0		5.0		upi-cvoter-25728	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	460		Internet	Nonpartisan	None
39.0	31.0	9.0	4.0	16.0	moore-r-murkowski-26093	Moore (R-Murkowski)	2016-09-13	2016-09-15		Likely Voters	500	4.0	Live Phone	Sponsor	Rep
47.0	39.0			14.0	washpost-surveymonkey-25357	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	989		Internet	Nonpartisan	None
38.0	31.0	19.0	7.0	6.0	washpost-surveymonkey-25357	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	989		Internet	Nonpartisan	None
39.0	29.0	10.0	4.0	17.0	moore-r-murkowski-25407	Moore (R-Murkowski)	2016-08-27	2016-08-29		Likely Voters	500	4.0	Live Phone	Sponsor	Rep
