Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
55.0	36.0	8.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
58.0	37.0		5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	341		Internet	Nonpartisan	None
54.0	36.0	8.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
54.0	38.0		8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	585		Internet	Nonpartisan	None
54.0	36.0	7.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
52.0	36.0	8.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	722		Internet	Nonpartisan	None
55.0	38.0		7.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	578		Internet	Nonpartisan	None
53.0	35.0	8.0	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	621		Internet	Nonpartisan	None
52.0	37.0	6.0	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	503		Internet	Nonpartisan	None
55.0	35.0	8.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	485		Internet	Nonpartisan	None
54.0	36.0	9.0	1.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	410		Internet	Nonpartisan	None
58.0	37.0		5.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	349		Internet	Nonpartisan	None
53.0	36.0	10.0	1.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	479		Internet	Nonpartisan	None
51.0	39.0		10.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	505		Internet	Nonpartisan	None
52.0	36.0	11.0	1.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	486		Internet	Nonpartisan	None
52.0	36.0	11.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	415		Internet	Nonpartisan	None
51.0	37.0	11.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	346		Internet	Nonpartisan	None
58.0	37.0		5.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	341		Internet	Nonpartisan	None
52.0	38.0		10.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	773		Internet	Nonpartisan	None
57.0	38.0	5.0		upi-cvoter-26288	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	327		Internet	Nonpartisan	None
54.0	38.0		8.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	550		Internet	Nonpartisan	None
56.0	38.0	6.0		upi-cvoter-26022	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	332		Internet	Nonpartisan	None
57.0	37.0		6.0	ipsos-reuters-26097	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	580		Internet	Nonpartisan	None
59.0	36.0	5.0		upi-cvoter-25898	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	545		Internet	Nonpartisan	None
56.0	37.0		7.0	ipsos-reuters-25850	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	518		Internet	Nonpartisan	None
58.0	36.0	5.0		upi-cvoter-25727	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	558		Internet	Nonpartisan	None
53.0	39.0		8.0	ipsos-reuters-25678	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	648		Internet	Nonpartisan	None
53.0	40.0		7.0	ipsos-reuters-25537	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	628		Internet	Nonpartisan	None
57.0	36.0		7.0	washpost-surveymonkey-25356	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	958		Internet	Nonpartisan	None
53.0	31.0	10.0	5.0	washpost-surveymonkey-25356	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	958		Internet	Nonpartisan	None
