Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
42.0	45.0	7.0	3.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
43.0	41.0	5.0	3.0	8.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
47.0	44.0	4.0	4.0	1.0	data-orbital-r-26792	Data Orbital (R)	2016-11-04	2016-11-06		Likely Voters	550	4.12	Live Phone	Pollster	Rep
50.0	43.0		7.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	354		Internet	Nonpartisan	None
43.0	45.0	6.0	3.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2322		Internet	Nonpartisan	None
47.0	42.0			11.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	857		Internet	Nonpartisan	None
43.0	44.0	7.0	3.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2154		Internet	Nonpartisan	None
43.0	44.0	8.0	3.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1748		Internet	Nonpartisan	None
48.0	42.0			10.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	504		Internet	Nonpartisan	None
47.0	39.0	4.0	4.0	7.0	data-orbital-r-26711	Data Orbital (R)	2016-11-01	2016-11-02		Likely Voters	550	4.12	Live Phone	Pollster	Rep
43.0	43.0	8.0	3.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1461		Internet	Nonpartisan	None
46.0	41.0		12.0	2.0	nbc-wsj-marist-26682	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	719	3.7	Live Phone	Nonpartisan	None
45.0	40.0	9.0	5.0	1.0	nbc-wsj-marist-26682	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	719	3.7	Live Phone	Nonpartisan	None
42.0	41.0	8.0	3.0	6.0	lucid-the-times-picayune-26645	Lucid/The Times-Picayune	2016-10-28	2016-11-01		Likely Voters	1113		Internet	Nonpartisan	None
49.0	44.0	5.0	1.0	0.0	cnn-26620	CNN	2016-10-27	2016-11-01	Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates and Jill Stein and Ajamu Baraka as the Green Party’s candidates. Who would you be more likely to vote for?	Likely Voters	769	3.5	Live Phone	Nonpartisan	None
51.0	46.0		2.0	0.0	cnn-26620	CNN	2016-10-27	2016-11-01	Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump as the Republican Party’s candidate, who would you be more likely to vote for?	Likely Voters	769	3.5	Live Phone	Nonpartisan	None
43.0	42.0	8.0	3.0	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1320		Internet	Nonpartisan	None
44.0	45.0	7.0	4.0		saguaro-26651	Saguaro	2016-10-29	2016-10-31		Likely Voters	2229	3.0	Internet	Nonpartisan	None
44.0	43.0	8.0	2.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1457		Internet	Nonpartisan	None
45.0	41.0	3.0	3.0	8.0	data-orbital-r-26599	Data Orbital (R)	2016-10-29	2016-10-30		Likely Voters	550	4.12	Live Phone	Pollster	Rep
43.0	43.0	8.0	3.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1342		Internet	Nonpartisan	None
51.0	43.0		5.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	373		Internet	Nonpartisan	None
44.0	42.0		9.0	5.0	cbs-yougov-26549	CBS/YouGov	2016-10-26	2016-10-28		Likely Voters	994	4.3	Internet	Nonpartisan	None
43.0	42.0	9.0	3.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1747		Internet	Nonpartisan	None
42.0	40.0	5.0	4.0	10.0	data-orbital-r-26536	Data Orbital (R)	2016-10-26	2016-10-27		Likely Voters	550	4.12	Live Phone	Pollster	Rep
42.0	43.0			15.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	954		Internet	Nonpartisan	None
43.0	42.0	10.0	4.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1752		Internet	Nonpartisan	None
46.0	48.0	5.0	1.0		saguaro-26523	Saguaro	2016-10-22	2016-10-24		Likely Voters	2385	3.0	Internet	Nonpartisan	None
46.0	45.0	4.0	3.0	3.0	monmouth-university-26428	Monmouth University	2016-10-21	2016-10-24	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	401	4.9	Live Phone	Nonpartisan	None
42.0	41.0	12.0	4.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1550		Internet	Nonpartisan	None
41.0	40.0	13.0	4.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1291		Internet	Nonpartisan	None
51.0	44.0		5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	363		Internet	Nonpartisan	None
45.0	43.0			12.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	675		Internet	Nonpartisan	None
41.0	41.0	5.0	3.0	10.0	data-orbital-r-26340	Data Orbital (R)	2016-10-17	2016-10-18		Likely Voters	550	4.12	Live Phone	Pollster	Rep
45.0	38.0		8.0	9.0	ipsos-reuters-26443	Ipsos/Reuters	2016-10-06	2016-10-18		Likely Voters	1538	2.8	Internet	Nonpartisan	None
44.0	39.0	6.0	4.0	6.0	ipsos-reuters-26443	Ipsos/Reuters	2016-10-06	2016-10-18		Likely Voters	1538	2.8	Internet	Nonpartisan	None
51.0	44.0		6.0		upi-cvoter-26290	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	355		Internet	Nonpartisan	None
47.0	46.0			7.0	washpost-surveymonkey-26238	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	1028		Internet	Nonpartisan	None
44.0	41.0	10.0	3.0	2.0	washpost-surveymonkey-26238	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	1028		Internet	Nonpartisan	None
38.0	43.0	7.0	4.0	8.0	arizona-republic-morrison-cronkite-news-26264	Arizona Republic/Morrison/Cronkite News 	2016-10-10	2016-10-15		Likely Voters	713		Live Phone	Nonpartisan	None
37.0	39.0	8.0	8.0	10.0	highground-26220	HighGround	2016-10-14	2016-10-14		Likely Voters	400	4.88	Live Phone	Nonpartisan	None
45.0	39.0			16.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	1665		Internet	Nonpartisan	None
42.0	43.0	5.0		10.0	data-orbital-r-26205	Data Orbital (R)	2016-10-11	2016-10-12		Likely Voters	550	4.12	Live Phone	Pollster	Rep
50.0	44.0		6.0		upi-cvoter-26024	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	358		Internet	Nonpartisan	None
49.0	42.0			9.0	ipsos-reuters-26098	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	903		Internet	Nonpartisan	None
