Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
39.0	50.0	8.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
42.0	54.0	4.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
39.0	49.0	9.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
36.0	51.0	10.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
36.0	50.0	10.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
36.0	50.0	10.0	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
38.0	50.0	8.0	5.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
38.0	50.0	9.0	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
38.0	51.0	8.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
42.0	55.0	3.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
36.0	52.0	9.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
34.0	53.0	11.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
34.0	52.0	12.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
34.0	53.0	12.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
42.0	56.0	3.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
42.0	56.0	3.0		upi-cvoter-26295	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	315		Internet	Nonpartisan	None
41.0	55.0	3.0		upi-cvoter-26029	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	312		Internet	Nonpartisan	None
43.0	54.0	3.0		upi-cvoter-25905	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	475		Internet	Nonpartisan	None
30.0	51.0	9.0	9.0	university-of-delaware-psrai-25891	University of Delaware/PSRAI	2016-09-16	2016-09-28	If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?	Likely Voters	762	4.1	Live Phone	Nonpartisan	None
42.0	54.0	3.0		upi-cvoter-25734	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	479		Internet	Nonpartisan	None
36.0	50.0		14.0	washpost-surveymonkey-25361	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	637		Internet	Nonpartisan	None
33.0	43.0	16.0	8.0	washpost-surveymonkey-25361	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	637		Internet	Nonpartisan	None
32.0	42.0	14.0	12.0	fairleigh-dickinson-delaware-news-journal-24987	Fairleigh Dickinson/Delaware News Journal	2016-07-20	2016-07-24	If the election for president was held today, which of the following would you vote for?	Registered Voters	715	4.1	Live Phone	Nonpartisan	None
