Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
45.0	47.0	4.0	2.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	4092		Internet	Nonpartisan	None
46.0	48.0	3.0	1.0	1.0	opinion-savvy-26791	Opinion Savvy	2016-11-05	2016-11-06	If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?	Likely Voters	853	3.4	IVR/Online	Nonpartisan	None
45.0	46.0	2.0	2.0	5.0	quinnipiac-26776	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	884	3.3	Live Phone	Nonpartisan	None
46.0	46.0		3.0	5.0	quinnipiac-26776	Quinnipiac	2016-11-03	2016-11-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	884	3.3	Live Phone	Nonpartisan	None
47.0	47.0		5.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	438		Internet	Nonpartisan	None
45.0	47.0	5.0	2.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	3574		Internet	Nonpartisan	None
47.0	48.0			5.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1274		Internet	Nonpartisan	None
45.0	45.0	4.0	4.0	2.0	cbs-yougov-26755	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1188	3.6	Internet	Nonpartisan	None
45.0	47.0	4.0	2.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	3600		Internet	Nonpartisan	None
45.0	47.0	4.0	2.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	3356		Internet	Nonpartisan	None
47.0	48.0			5.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	1342		Internet	Nonpartisan	None
48.0	45.0	2.0	2.0	3.0	remington-research-group-r-axiom-strategies-26761	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2352	2.02	IVR/Live Phone	Sponsor	Rep
45.0	49.0	3.0	1.0	2.0	opinion-savvy-fox-13-fox-35-26664	Opinion Savvy/Fox 13/Fox 35	2016-11-01	2016-11-02	If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?	Likely Voters	603	4.0	IVR/Online	Nonpartisan	None
44.0	47.0	5.0	2.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	2901		Internet	Nonpartisan	None
