Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
45.0	45.0	7.0		3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2419		Internet	Nonpartisan	None
49.0	46.0	3.0		2.0	landmark-r-rosetta-stone-26789	Landmark (R)/Rosetta Stone	2016-11-06	2016-11-06	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1200	2.8	IVR/Online	Pollster	Rep
50.0	44.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	366		Internet	Nonpartisan	None
45.0	45.0	6.0		4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2348		Internet	Nonpartisan	None
48.0	42.0			10.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	691		Internet	Nonpartisan	None
49.0	43.0	4.0	1.0	3.0	cbs-yougov-26801	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	995	4.6	Internet	Nonpartisan	None
45.0	45.0	7.0		4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2568		Internet	Nonpartisan	None
48.0	46.0	4.0		2.0	landmark-r-rosetta-stone-wsb-tv-26739	Landmark (R)/Rosetta Stone/WSB-TV	2016-11-02	2016-11-03	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1000	3.1	IVR/Online	Pollster	Rep
49.0	45.0	6.0		1.0	opinion-savvy-fox-5-atlanta-26710	Opinion Savvy/Fox 5 Atlanta	2016-11-02	2016-11-03	If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; and Libertarian nominee Gary Johnson, for whom would you vote?	Likely Voters	538	4.2	IVR/Online	Nonpartisan	None
46.0	44.0	6.0		4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2872		Internet	Nonpartisan	None
48.0	42.0			10.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	706		Internet	Nonpartisan	None
45.0	45.0	6.0		4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	2722		Internet	Nonpartisan	None
47.0	46.0		6.0	1.0	nbc-wsj-marist-26683	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	707	3.7	Live Phone	Nonpartisan	None
45.0	44.0	8.0	2.0	1.0	nbc-wsj-marist-26683	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	707	3.7	Live Phone	Nonpartisan	None
45.0	44.0	7.0		4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	2678		Internet	Nonpartisan	None
