Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
28.0	52.0	16.0	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	426		Internet	Nonpartisan	None
31.0	65.0	4.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
29.0	52.0	15.0	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	426		Internet	Nonpartisan	None
28.0	53.0	15.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	458		Internet	Nonpartisan	None
29.0	52.0	15.0	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	435		Internet	Nonpartisan	None
31.0	52.0	15.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
30.0	51.0	16.0	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
32.0	51.0	14.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	467		Internet	Nonpartisan	None
31.0	52.0	14.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	437		Internet	Nonpartisan	None
33.0	64.0	3.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	310		Internet	Nonpartisan	None
31.0	49.0	15.0	4.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	522		Internet	Nonpartisan	None
33.0	49.0	14.0	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	504		Internet	Nonpartisan	None
34.0	49.0	14.0	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	459		Internet	Nonpartisan	None
34.0	50.0	13.0	3.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	388		Internet	Nonpartisan	None
32.0	65.0	3.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	306		Internet	Nonpartisan	None
33.0	65.0	3.0		upi-cvoter-26298	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	312		Internet	Nonpartisan	None
32.0	64.0	3.0		upi-cvoter-26032	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	304		Internet	Nonpartisan	None
34.0	64.0	3.0		upi-cvoter-25908	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	461		Internet	Nonpartisan	None
33.0	64.0	4.0		upi-cvoter-25737	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	460		Internet	Nonpartisan	None
28.0	58.0		14.0	washpost-surveymonkey-25362	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	546		Internet	Nonpartisan	None
25.0	51.0	14.0	9.0	washpost-surveymonkey-25362	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	546		Internet	Nonpartisan	None
