Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
47.0	38.0	9.0	7.0		surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
48.0	47.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	342		Internet	Nonpartisan	None
47.0	37.0	9.0	6.0		surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
44.0	44.0			12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	595		Internet	Nonpartisan	None
46.0	39.0	6.0	3.0	6.0	des-moines-register-mediacom-selzer-26746	Des Moines Register/Mediacom/Selzer	2016-11-01	2016-11-04		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
47.0	37.0	9.0	6.0		surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1604		Internet	Nonpartisan	None
43.0	44.0	3.0	3.0	7.0	loras-college-26735	Loras College	2016-11-01	2016-11-03	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
47.0	37.0	10.0	7.0		surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1469		Internet	Nonpartisan	None
44.0	45.0			11.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	571		Internet	Nonpartisan	None
44.0	41.0	5.0	4.0	6.0	raba-research-simpson-26692	RABA Research/Simpson	2016-11-01	2016-11-02	If the election for President were held today among these four candidates, for whom would you vote?	Likely Voters	1076	3.0	IVR/Online	Nonpartisan	None
46.0	44.0			10.0	raba-research-simpson-26692	RABA Research/Simpson	2016-11-01	2016-11-02	If the election were held today between only these two candidates, for whom would you vote?	Likely Voters	1076	3.0	IVR/Online	Nonpartisan	None
47.0	37.0	9.0	6.0		surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1226		Internet	Nonpartisan	None
45.0	39.0	10.0	6.0		surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	867		Internet	Nonpartisan	None
45.0	40.0	10.0	6.0		surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	984		Internet	Nonpartisan	None
44.0	40.0	10.0	6.0		surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	905		Internet	Nonpartisan	None
48.0	48.0		4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	329		Internet	Nonpartisan	None
44.0	41.0	9.0	6.0		surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1177		Internet	Nonpartisan	None
42.0	44.0			14.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	547		Internet	Nonpartisan	None
44.0	44.0	4.0	2.0	6.0	quinnipiac-26511	Quinnipiac	2016-10-20	2016-10-26	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	791	3.5	Live Phone	Nonpartisan	None
47.0	46.0		1.0	6.0	quinnipiac-26511	Quinnipiac	2016-10-20	2016-10-26	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	791	3.5	Live Phone	Nonpartisan	None
44.0	41.0	9.0	5.0		surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1337		Internet	Nonpartisan	None
44.0	40.0	9.0	7.0		surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1229		Internet	Nonpartisan	None
45.0	40.0	8.0	7.0		surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1038		Internet	Nonpartisan	None
48.0	49.0		4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	329		Internet	Nonpartisan	None
43.0	46.0			11.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	537		Internet	Nonpartisan	None
