Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
35.0	52.0	10.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
40.0	54.0	6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	403		Internet	Nonpartisan	None
35.0	52.0	11.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
39.0	51.0		10.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	781		Internet	Nonpartisan	None
36.0	53.0	10.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1397		Internet	Nonpartisan	None
37.0	52.0	9.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1120		Internet	Nonpartisan	None
39.0	52.0		9.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	837		Internet	Nonpartisan	None
36.0	53.0	9.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	997		Internet	Nonpartisan	None
35.0	52.0	12.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	911		Internet	Nonpartisan	None
35.0	52.0	11.0	1.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1003		Internet	Nonpartisan	None
34.0	53.0	12.0	1.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	957		Internet	Nonpartisan	None
41.0	56.0	4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	387		Internet	Nonpartisan	None
34.0	51.0	12.0	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1162		Internet	Nonpartisan	None
37.0	48.0	6.0	10.0	loras-college-26605	Loras College	2016-10-26	2016-10-27		Likely Voters	600	4.0	Live Phone	Nonpartisan	None
34.0	45.0	8.0	13.0	loras-college-26605	Loras College	2016-10-26	2016-10-27		Likely Voters	600	4.0	Live Phone	Nonpartisan	None
35.0	56.0		9.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	591		Internet	Nonpartisan	None
34.0	52.0	12.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1274		Internet	Nonpartisan	None
34.0	52.0	12.0	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1091		Internet	Nonpartisan	None
34.0	52.0	11.0	3.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	927		Internet	Nonpartisan	None
40.0	56.0	4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	412		Internet	Nonpartisan	None
28.0	57.0		15.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	530		Internet	Nonpartisan	None
36.0	51.0	8.0	5.0	victory-research-26394	Victory Research	2016-10-16	2016-10-18		Likely Voters	1200	2.83	Live Phone	Nonpartisan	None
40.0	56.0	4.0		upi-cvoter-26300	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	398		Internet	Nonpartisan	None
27.0	60.0		13.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	612		Internet	Nonpartisan	None
40.0	55.0	5.0		upi-cvoter-26034	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	397		Internet	Nonpartisan	None
31.0	57.0		12.0	ipsos-reuters-26106	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	873		Internet	Nonpartisan	None
28.0	53.0	10.0	10.0	southern-illinois-university-25955	Southern Illinois University	2016-09-27	2016-10-02		Likely Voters	865	3.3	Live Phone	Nonpartisan	None
42.0	54.0	5.0		upi-cvoter-25910	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	682		Internet	Nonpartisan	None
33.0	53.0		14.0	ipsos-reuters-25859	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	641		Internet	Nonpartisan	None
41.0	54.0	5.0		upi-cvoter-25740	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	657		Internet	Nonpartisan	None
35.0	49.0	5.0	11.0	victory-research-25826	Victory Research	2016-09-21	2016-09-24		Likely Voters	1200	2.83	Live Phone	Nonpartisan	None
31.0	53.0		16.0	ipsos-reuters-25691	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	644		Internet	Nonpartisan	None
33.0	47.0	9.0	11.0	loras-college-25527	Loras College	2016-09-13	2016-09-16	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters	600	4.0	Live Phone	Nonpartisan	None
30.0	43.0	11.0	16.0	loras-college-25527	Loras College	2016-09-13	2016-09-16	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	600	4.0	Live Phone	Nonpartisan	None
36.0	51.0		13.0	ipsos-reuters-25546	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	615		Internet	Nonpartisan	None
38.0	53.0		9.0	washpost-surveymonkey-25364	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2599		Internet	Nonpartisan	None
31.0	45.0	17.0	6.0	washpost-surveymonkey-25364	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2599		Internet	Nonpartisan	None
32.0	51.0		17.0	normington-petts-associates-d-duckworth-25095	Normington, Petts & Associates (D-Duckworth)	2016-08-01	2016-08-04		Likely Voters	800	3.5	Live Phone	Sponsor	Dem
34.0	51.0	11.0	4.0	victory-research-24913	Victory Research	2016-07-14	2016-07-16		Likely Voters	1200	2.83	Live Phone	Nonpartisan	None
32.0	57.0		11.0	nbc-wsj-marist-24058	NBC/WSJ/Marist	2016-03-04	2016-03-10		Registered Voters	1968	2.2	Live Phone	Nonpartisan	None
33.0	51.0		16.0	ppp-d-22471	PPP (D)	2015-07-20	2015-07-21		Likely Voters	931	2.0	IVR/Online	Pollster	Dem
