Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
52.0	35.0	10.0		3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1700		Internet	Nonpartisan	None
51.0	43.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	338		Internet	Nonpartisan	None
52.0	35.0	10.0		3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
54.0	38.0			8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	541		Internet	Nonpartisan	None
53.0	35.0	9.0		3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1253		Internet	Nonpartisan	None
52.0	35.0	9.0		3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	923		Internet	Nonpartisan	None
53.0	38.0			9.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	531		Internet	Nonpartisan	None
51.0	36.0	10.0		3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	790		Internet	Nonpartisan	None
49.0	39.0	5.0		9.0	gravis-marketing-26719	Gravis Marketing	2016-10-30	2016-11-01		Registered Voters	399	4.9	Internet	Nonpartisan	None
52.0	37.0	10.0		2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	638		Internet	Nonpartisan	None
51.0	37.0	10.0		2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	674		Internet	Nonpartisan	None
50.0	39.0	4.0	2.0	5.0	monmouth-university-26574	Monmouth University	2016-10-27	2016-10-30	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, or Gary Johnson the Libertarian?	Likely Voters	402	4.9	Live Phone	Nonpartisan	None
49.0	37.0	11.0		2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	592		Internet	Nonpartisan	None
54.0	42.0		4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	332		Internet	Nonpartisan	None
50.0	36.0	12.0		2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	740		Internet	Nonpartisan	None
54.0	39.0			7.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	555		Internet	Nonpartisan	None
50.0	35.0	12.0		3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	784		Internet	Nonpartisan	None
49.0	38.0	5.0		8.0	gravis-marketing-26433	Gravis Marketing	2016-10-22	2016-10-24	If you had to vote today in a matchup between Donald Trump, Gary Johnson, and Hillary Clinton, who would you vote for?	Registered Voters	596	2.3	Internet	Nonpartisan	None
48.0	35.0	13.0	1.0	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	688		Internet	Nonpartisan	None
48.0	35.0	13.0	1.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	584		Internet	Nonpartisan	None
53.0	43.0		4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	340		Internet	Nonpartisan	None
49.0	38.0			13.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	666		Internet	Nonpartisan	None
43.0	37.0	9.0	1.0	11.0	wish-tv-ball-state-26363	WISH-TV/Ball State 	2016-10-10	2016-10-16		Likely Voters	544	4.8	Live Phone	Nonpartisan	None
47.0	41.0		1.0	11.0	wish-tv-ball-state-26363	WISH-TV/Ball State 	2016-10-10	2016-10-16		Likely Voters	544	4.8	Live Phone	Nonpartisan	None
53.0	43.0		4.0		upi-cvoter-26301	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	330		Internet	Nonpartisan	None
45.0	41.0	9.0	1.0	5.0	monmouth-university-26175	Monmouth University	2016-10-11	2016-10-13	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, or Gary Johnson the Libertarian?	Likely Voters	402	4.9	Live Phone	Nonpartisan	None
47.0	38.0			15.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	822		Internet	Nonpartisan	None
43.0	37.0	10.0	3.0	7.0	lucid-the-times-picayune-26225	Lucid/The Times-Picayune	2016-10-07	2016-10-10		Likely Voters	1123		Internet	Nonpartisan	None
52.0	43.0		5.0		upi-cvoter-26035	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	329		Internet	Nonpartisan	None
50.0	37.0			13.0	ipsos-reuters-26107	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	844		Internet	Nonpartisan	None
55.0	41.0		4.0		upi-cvoter-25911	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	533		Internet	Nonpartisan	None
53.0	36.0			11.0	ipsos-reuters-25860	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	688		Internet	Nonpartisan	None
54.0	41.0		5.0		upi-cvoter-25741	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	532		Internet	Nonpartisan	None
54.0	35.0			11.0	ipsos-reuters-25692	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	674		Internet	Nonpartisan	None
53.0	33.0			14.0	ipsos-reuters-25547	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	709		Internet	Nonpartisan	None
52.0	37.0			11.0	washpost-surveymonkey-25365	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2294		Internet	Nonpartisan	None
46.0	30.0	13.0	5.0	6.0	washpost-surveymonkey-25365	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	2294		Internet	Nonpartisan	None
47.0	36.0	10.0	1.0	5.0	monmouth-university-25197	Monmouth University	2016-08-13	2016-08-16	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	403	4.9	Live Phone	Nonpartisan	None
48.0	41.0			11.0	nbc-wsj-marist-24413	NBC/WSJ/Marist	2016-04-26	2016-04-28		Registered Voters	2149	2.1	Live Phone	Nonpartisan	None
47.0	39.0			14.0	pos-r-hpi-wthr-24601	POS (R)/HPI/WTHR	2016-04-18	2016-04-21		Likely Voters	500	4.0	Live Phone	Pollster	Rep
