Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
52.0	38.0	6.0	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
55.0	40.0	5.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
52.0	38.0	6.0	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
52.0	36.0		12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	633		Internet	Nonpartisan	None
52.0	38.0	6.0	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
52.0	37.0	7.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
53.0	36.0		11.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	618		Internet	Nonpartisan	None
51.0	37.0	8.0	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	546		Internet	Nonpartisan	None
51.0	37.0	8.0	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	470		Internet	Nonpartisan	None
51.0	38.0	7.0	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	423		Internet	Nonpartisan	None
54.0	36.0	6.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	320		Internet	Nonpartisan	None
56.0	40.0	4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	316		Internet	Nonpartisan	None
54.0	37.0	7.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	418		Internet	Nonpartisan	None
53.0	34.0		13.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	934		Internet	Nonpartisan	None
53.0	38.0	7.0	3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	435		Internet	Nonpartisan	None
53.0	38.0	7.0	1.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	388		Internet	Nonpartisan	None
51.0	39.0	9.0	1.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	324		Internet	Nonpartisan	None
