Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
42.0	44.0	8.0	3.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3145		Internet	Nonpartisan	None
45.0	49.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	334		Internet	Nonpartisan	None
42.0	44.0	8.0	3.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2868		Internet	Nonpartisan	None
45.0	46.0			9.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	609		Internet	Nonpartisan	None
41.0	46.0	6.0	2.0	6.0	ppp-d-26722	PPP (D)	2016-11-03	2016-11-04	The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?	Likely Voters	957	3.2	IVR/Online	Pollster	Dem
44.0	50.0			6.0	ppp-d-26722	PPP (D)	2016-11-03	2016-11-04	If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?	Likely Voters	957	3.2	IVR/Online	Pollster	Dem
42.0	44.0	8.0	3.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2748		Internet	Nonpartisan	None
43.0	44.0	9.0	3.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2362		Internet	Nonpartisan	None
43.0	43.0			14.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	607		Internet	Nonpartisan	None
42.0	45.0	8.0	3.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1993		Internet	Nonpartisan	None
43.0	44.0	8.0	4.0	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1739		Internet	Nonpartisan	None
42.0	43.0	8.0	5.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1649		Internet	Nonpartisan	None
42.0	43.0	8.0	5.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1400		Internet	Nonpartisan	None
32.0	52.0		6.0	10.0	michigan-state-university-26626	Michigan State University	2016-09-01	2016-10-30	Which candidate do you most support for the presidency? Hillary Clinton or Donald Trump (random order)?  If you absolutely had to decide today, who are you most leaning toward? Hillary Clinton or Donald Trump (random order)?	Likely Voters	746	3.6	Live Phone	Nonpartisan	None
28.0	47.0	11.0	6.0	8.0	michigan-state-university-26626	Michigan State University	2016-09-01	2016-10-30	The Michigan presidential ballot will include Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarians, and Jill Stein for the Greens. Given those choices, who would you vote for?	Likely Voters	746	3.6	Live Phone	Nonpartisan	None
46.0	51.0		4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	337		Internet	Nonpartisan	None
41.0	44.0	8.0	4.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1787		Internet	Nonpartisan	None
37.0	41.0			22.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	1256		Internet	Nonpartisan	None
40.0	43.0	8.0	5.0	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1928		Internet	Nonpartisan	None
37.0	45.0	2.0	1.0	15.0	epic-mra-detroit-free-press-wxyz-tv-26500	EPIC-MRA/Detroit Free Press/WXYZ-TV 	2016-10-22	2016-10-24		Likely Voters	600	4.0	Live Phone	Nonpartisan	None
34.0	41.0	9.0	3.0	13.0	epic-mra-detroit-free-press-wxyz-tv-26500	EPIC-MRA/Detroit Free Press/WXYZ-TV 	2016-10-22	2016-10-24		Likely Voters	600	4.0	Live Phone	Nonpartisan	None
40.0	44.0	9.0	4.0	4.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1663		Internet	Nonpartisan	None
39.0	43.0	9.0	4.0	4.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1392		Internet	Nonpartisan	None
45.0	51.0		4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	329		Internet	Nonpartisan	None
