Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
52.0	30.0	15.0	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
54.0	41.0	6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
53.0	31.0	13.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
53.0	32.0	12.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
53.0	34.0	11.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
51.0	34.0	13.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
50.0	34.0	13.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
49.0	36.0	12.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	405		Internet	Nonpartisan	None
48.0	38.0	12.0	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	382		Internet	Nonpartisan	None
55.0	41.0	5.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	340		Internet	Nonpartisan	None
51.0	35.0	11.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	490		Internet	Nonpartisan	None
51.0	35.0	11.0	3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	549		Internet	Nonpartisan	None
52.0	35.0	9.0	4.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	475		Internet	Nonpartisan	None
51.0	35.0	11.0	4.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	410		Internet	Nonpartisan	None
55.0	41.0	5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	339		Internet	Nonpartisan	None
55.0	41.0	5.0		upi-cvoter-26313	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	329		Internet	Nonpartisan	None
43.0	27.0	9.0	20.0	msu-billings-26444	MSU-Billings	2016-10-03	2016-10-10	If you had to choose today, which of the following candidates would you support for President of the United States?	Adults	590	4.0	Live Phone	Nonpartisan	None
54.0	40.0	6.0		upi-cvoter-26051	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	496		Internet	Nonpartisan	None
57.0	39.0	4.0		upi-cvoter-25923	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	647		Internet	Nonpartisan	None
58.0	38.0	5.0		upi-cvoter-25756	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	493		Internet	Nonpartisan	None
51.0	38.0		12.0	washpost-surveymonkey-25376	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	999		Internet	Nonpartisan	None
44.0	31.0	19.0	7.0	washpost-surveymonkey-25376	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	999		Internet	Nonpartisan	None
