Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
41.0	48.0	7.0		3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3126		Internet	Nonpartisan	None
44.0	44.0	3.0	2.0	6.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
45.0	47.0	3.0	2.0	4.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
45.0	48.0		3.0	4.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
48.0	47.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	357		Internet	Nonpartisan	None
41.0	48.0	7.0	3.0		surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2865		Internet	Nonpartisan	None
47.0	46.0			7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	650		Internet	Nonpartisan	None
41.0	48.0	7.0		3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2765		Internet	Nonpartisan	None
42.0	48.0	7.0		3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2292		Internet	Nonpartisan	None
48.0	47.0			5.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	660		Internet	Nonpartisan	None
48.0	45.0	3.0	1.0	2.0	remington-research-group-r-axiom-strategies-26762	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2596	1.92	IVR/Live Phone	Sponsor	Rep
41.0	49.0	7.0		3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1886		Internet	Nonpartisan	None
47.0	49.0			4.0	ppp-d-center-for-american-progress-action-fund-26702	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?	Likely Voters	1169	2.9	IVR/Online	Sponsor	Dem
44.0	47.0	3.0	1.0	5.0	quinnipiac-26632	Quinnipiac	2016-10-27	2016-11-01	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	602	4.0	Live Phone	Nonpartisan	None
46.0	48.0		2.0	4.0	quinnipiac-26632	Quinnipiac	2016-10-27	2016-11-01	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	602	4.0	Live Phone	Nonpartisan	None
42.0	49.0	7.0		2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1617		Internet	Nonpartisan	None
51.0	44.0	3.0		3.0	surveyusa-wral-26607	SurveyUSA/WRAL	2016-10-28	2016-10-31		Likely Voters	659	3.9	IVR/Online	Nonpartisan	None
