Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
38.0	47.0	10.0	2.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	696		Internet	Nonpartisan	None
38.0	49.0	6.0	3.0	4.0	unh-wmur-26768	UNH/WMUR	2016-11-03	2016-11-06		Likely Voters	692		Live Phone	Nonpartisan	None
43.0	49.0		8.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	310		Internet	Nonpartisan	None
38.0	49.0	8.0	3.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	672		Internet	Nonpartisan	None
42.0	44.0			14.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	316		Internet	Nonpartisan	None
38.0	48.0	9.0	2.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	662		Internet	Nonpartisan	None
37.0	47.0	11.0	3.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	672		Internet	Nonpartisan	None
40.0	46.0			14.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	306		Internet	Nonpartisan	None
43.0	41.0	7.0	5.0	3.0	gravis-marketing-breitbart-26708	Gravis Marketing/Breitbart	2016-11-01	2016-11-02	If the election was held today, who would be your choice for president?	Registered Voters	1001	2.0	IVR/Online	Nonpartisan	None
42.0	42.0	5.0	2.0	9.0	suffolk-boston-globe-26676	Suffolk/Boston Globe	2016-10-31	2016-11-02	The New Hampshire presidential ballot includes five candidates as follows: Rocky De La Fuente-American Delta Party, Gary Johnson-Libertarian, Jill Stein-Green Party, Donald TrumpRepublican, Hillary Clinton-Democrat. At this point which candidate will you vote for or lean toward?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
48.0	43.0	4.0	1.0	4.0	arg-26663	ARG	2016-10-31	2016-11-02	If the election for US President were being held today between Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johnson, the Libertarian, and Jill Stein, of the Green Party, for whom would you vote - Clinton, Trump, Johnson, or Stein?	Likely Voters	600	4.0	Live Phone	Nonpartisan	None
44.0	44.0	5.0	3.0	4.0	umass-lowell-7-news-26688	UMass Lowell/7 News	2016-10-28	2016-11-02		Likely Voters	695	4.28	Live Phone	Nonpartisan	None
45.0	44.0		2.0	10.0	umass-lowell-7-news-26688	UMass Lowell/7 News	2016-10-28	2016-11-02		Likely Voters	695	4.28	Live Phone	Nonpartisan	None
37.0	47.0	11.0	2.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	658		Internet	Nonpartisan	None
