Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
38.0	40.0	16.0	4.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
38.0	47.0		15.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	330		Internet	Nonpartisan	None
36.0	40.0	16.0	6.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
38.0	41.0			21.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	275		Internet	Nonpartisan	None
36.0	41.0	17.0	4.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
40.0	45.0	11.0	3.0	2.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
36.0	41.0	17.0	4.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
42.0	45.0			13.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	271		Internet	Nonpartisan	None
43.0	46.0	7.0	3.0	1.0	ziapoll-26714	ZiaPoll	2016-11-01	2016-11-02		Likely Voters	1102	3.0	Mixed	Nonpartisan	None
35.0	40.0	18.0	4.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	820		Internet	Nonpartisan	None
31.0	39.0	22.0	2.0	7.0	lucid-the-times-picayune-26642	Lucid/The Times-Picayune	2016-10-28	2016-11-01		Likely Voters	567		Internet	Nonpartisan	None
34.0	42.0	18.0	3.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	900		Internet	Nonpartisan	None
34.0	44.0	17.0	3.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	987		Internet	Nonpartisan	None
