Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
32.0	57.0	9.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
38.0	59.0	4.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	458		Internet	Nonpartisan	None
31.0	58.0	9.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
33.0	51.0		16.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
34.0	51.0	8.0	7.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
32.0	58.0	9.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
32.0	57.0	9.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
34.0	56.0		10.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	1443		Internet	Nonpartisan	None
32.0	58.0	9.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1755		Internet	Nonpartisan	None
33.0	57.0	9.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1645		Internet	Nonpartisan	None
33.0	56.0	10.0	1.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1734		Internet	Nonpartisan	None
