Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
45.0	42.0	7.0	3.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
48.0	47.0		5.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	345		Internet	Nonpartisan	None
45.0	42.0	8.0	2.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
46.0	47.0			7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	775		Internet	Nonpartisan	None
47.0	48.0	3.0	2.0		columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
46.0	45.0	3.0	4.0	2.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
46.0	42.0	8.0	2.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
43.0	40.0	8.0	7.0	2.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
46.0	41.0	8.0	2.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
45.0	47.0			8.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	787		Internet	Nonpartisan	None
45.0	44.0	4.0	3.0	3.0	remington-research-group-r-axiom-strategies-26766	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2557	1.94	IVR/Live Phone	Sponsor	Rep
46.0	41.0	8.0	2.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1728		Internet	Nonpartisan	None
46.0	41.0	5.0	3.0	5.0	quinnipiac-26629	Quinnipiac	2016-10-27	2016-11-01	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	589	4.0	Live Phone	Nonpartisan	None
47.0	44.0		2.0	7.0	quinnipiac-26629	Quinnipiac	2016-10-27	2016-11-01	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	589	4.0	Live Phone	Nonpartisan	None
45.0	42.0	8.0	2.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1586		Internet	Nonpartisan	None
45.0	40.0	9.0	2.0	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1823		Internet	Nonpartisan	None
48.0	43.0	3.0	1.0	5.0	remington-research-group-r-axiom-strategies-26561	Remington Research Group (R)/Axiom Strategies	2016-10-30	2016-10-30		Likely Voters	1187	2.84	IVR/Live Phone	Sponsor	Rep
44.0	41.0	9.0	3.0	4.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1585		Internet	Nonpartisan	None
47.0	50.0		3.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	339		Internet	Nonpartisan	None
45.0	40.0	9.0	3.0	4.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1980		Internet	Nonpartisan	None
45.0	45.0			10.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	649		Internet	Nonpartisan	None
45.0	40.0	9.0	2.0	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	2173		Internet	Nonpartisan	None
45.0	40.0	8.0	3.0	4.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1951		Internet	Nonpartisan	None
46.0	40.0	8.0	2.0	3.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1627		Internet	Nonpartisan	None
47.0	50.0		4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	349		Internet	Nonpartisan	None
46.0	42.0	4.0	2.0	6.0	remington-research-group-r-axiom-strategies-26423	Remington Research Group (R)/Axiom Strategies	2016-10-20	2016-10-22		Likely Voters	1971	2.2	IVR/Live Phone	Sponsor	Rep
43.0	43.0			14.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	2687		Internet	Nonpartisan	None
45.0	45.0	2.0	2.0	6.0	suffolk-26318	Suffolk	2016-10-17	2016-10-19	Your Ohio ballot contains five candidates for President: Democrat Hillary Clinton, nonparty Richard Duncan, Gary Johnson, Green Party Jill Stein, Republican Donald Trump. If the general election was held today for whom will you vote or lean toward?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
45.0	45.0	6.0	2.0	2.0	quinnipiac-26216	Quinnipiac	2016-10-10	2016-10-16	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	624	3.9	Live Phone	Nonpartisan	None
48.0	47.0		1.0	4.0	quinnipiac-26216	Quinnipiac	2016-10-10	2016-10-16	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	624	3.9	Live Phone	Nonpartisan	None
46.0	50.0		4.0		upi-cvoter-26323	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	344		Internet	Nonpartisan	None
48.0	46.0			6.0	washpost-surveymonkey-26245	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	1307		Internet	Nonpartisan	None
44.0	41.0	9.0	4.0	2.0	washpost-surveymonkey-26245	WashPost/SurveyMonkey	2016-10-08	2016-10-16		Likely Voters	1307		Internet	Nonpartisan	None
48.0	44.0	4.0	3.0	0.0	cnn-26204	CNN	2016-10-10	2016-10-15	Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and MikePence as the  Republican Party’s candidates, Gary Johnson and Bill Weld as Independent candidates, and Jill Stein and Ajamu Baraka as the Green Party’s candidates. Who would you be more likely to vote for?	Likely Voters	774	3.5	Live Phone	Nonpartisan	None
50.0	47.0		4.0	0.0	cnn-26204	CNN	2016-10-10	2016-10-15	Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump as the Republican Party’s candidate, who would you be more likely to vote for?	Likely Voters	774	3.5	Live Phone	Nonpartisan	None
43.0	42.0			15.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	2192		Internet	Nonpartisan	None
45.0	45.0		8.0	3.0	nbc-wsj-marist-26168	NBC/WSJ/Marist	2016-10-10	2016-10-12	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	724	3.6	Live Phone	Nonpartisan	None
42.0	41.0	9.0	5.0	3.0	nbc-wsj-marist-26168	NBC/WSJ/Marist	2016-10-10	2016-10-12	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	724	3.6	Live Phone	Nonpartisan	None
41.0	44.0		8.0	7.0	ipsos-reuters-26658	Ipsos/Reuters	2016-10-06	2016-10-12	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1200	3.2	Internet	Nonpartisan	None
39.0	43.0	8.0	4.0	6.0	ipsos-reuters-26658	Ipsos/Reuters	2016-10-06	2016-10-12	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1200	3.2	Internet	Nonpartisan	None
