Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
43.0	46.0	6.0	3.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
47.0	48.0		5.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	390		Internet	Nonpartisan	None
42.0	47.0	6.0	3.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
45.0	48.0			7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	955		Internet	Nonpartisan	None
43.0	45.0	4.0	4.0	4.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
42.0	48.0		7.0	3.0	muhlenberg-morning-call-26745	Muhlenberg/Morning Call	2016-10-30	2016-11-04	Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton and Donald Trump, who would you vote for?	Likely Voters	405	5.5	Live Phone	Nonpartisan	None
40.0	44.0	7.0	5.0	5.0	muhlenberg-morning-call-26745	Muhlenberg/Morning Call	2016-10-30	2016-11-04	Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton, Donald Trump, Gary Johnson, and Jill Stein, who would you vote for?	Likely Voters	405	5.5	Live Phone	Nonpartisan	None
43.0	46.0	6.0	3.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2691		Internet	Nonpartisan	None
43.0	46.0	6.0	2.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2454		Internet	Nonpartisan	None
44.0	48.0			8.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	984		Internet	Nonpartisan	None
45.0	46.0	4.0	2.0	3.0	remington-research-group-r-axiom-strategies-26764	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2683	1.89	IVR/Live Phone	Sponsor	Rep
45.0	47.0	2.0	4.0	3.0	gravis-marketing-breitbart-26736	Gravis Marketing/Breitbart	2016-11-01	2016-11-02	If the election was held today, who would be your choice for president?	Registered Voters	1016	3.1	IVR/Online	Nonpartisan	None
42.0	47.0	6.0	2.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	2177		Internet	Nonpartisan	None
44.0	48.0			8.0	ppp-d-center-for-american-progress-action-fund-26701	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election was today, who would you vote for?	Likely Voters	1050	3.0	IVR/Online	Sponsor	Dem
43.0	45.0	2.0	3.0	6.0	susquehanna-r-abc27-news-26623	Susquehanna (R)/ABC27 News	2016-10-31	2016-11-01	If the election for President were held today, would you vote for Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, Green Party candidate Jill Stein or Constitutional Party candidate Darrell Castle?	Likely Voters	681	3.76	IVR/Live Phone	Pollster	Rep
44.0	48.0	3.0	2.0	3.0	monmouth-university-26625	Monmouth University	2016-10-29	2016-11-01	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	403	4.9	Live Phone	Nonpartisan	None
43.0	48.0	3.0	3.0	2.0	quinnipiac-26630	Quinnipiac	2016-10-27	2016-11-01	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	612	4.0	Live Phone	Nonpartisan	None
44.0	50.0		1.0	4.0	quinnipiac-26630	Quinnipiac	2016-10-27	2016-11-01	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	612	4.0	Live Phone	Nonpartisan	None
44.0	48.0	4.0	2.0	1.0	cnn-26624	CNN	2016-10-27	2016-11-01	Suppose that the presidential election were being held today and you had to choose between  Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates, and Jill Stein and Ajamu Baraka as the Green Party’s candidates.  Who would you be more likely to vote for?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
46.0	51.0		3.0	0.0	cnn-26624	CNN	2016-10-27	2016-11-01	Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump and as the Republican Party’s candidate, who would you be more likely to vote for?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
42.0	48.0	6.0	2.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	2078		Internet	Nonpartisan	None
41.0	49.0	6.0	2.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	2255		Internet	Nonpartisan	None
43.0	45.0	3.0	1.0	6.0	remington-research-group-r-axiom-strategies-26564	Remington Research Group (R)/Axiom Strategies	2016-10-30	2016-10-30		Likely Voters	1249	2.77	IVR/Live Phone	Sponsor	Rep
38.0	49.0	4.0	2.0	7.0	franklin-and-marshall-college-26588	Franklin and Marshall College	2016-10-26	2016-10-30		Likely Voters	652	5.1	Live Phone/Online	Nonpartisan	None
41.0	49.0	6.0	2.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	2108		Internet	Nonpartisan	None
46.0	50.0		4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	366		Internet	Nonpartisan	None
40.0	48.0	5.0	5.0	2.0	cbs-yougov-26547	CBS/YouGov	2016-10-26	2016-10-28		Likely Voters	1091	3.7	Internet	Nonpartisan	None
42.0	47.0	6.0	3.0	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	2512		Internet	Nonpartisan	None
46.0	48.0			6.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	705		Internet	Nonpartisan	None
41.0	46.0		9.0	3.0	muhlenberg-morning-call-26539	Muhlenberg/Morning Call	2016-10-20	2016-10-26	Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton and Donald Trump, who would you vote for?	Likely Voters	420	5.5	Live Phone	Nonpartisan	None
39.0	45.0	8.0	6.0	3.0	muhlenberg-morning-call-26539	Muhlenberg/Morning Call	2016-10-20	2016-10-26	Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton, Donald Trump, Gary Johnson, and Jill Stein, who would you vote for?	Likely Voters	420	5.5	Live Phone	Nonpartisan	None
42.0	48.0	6.0	2.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	2506		Internet	Nonpartisan	None
39.0	46.0	6.0	4.0	6.0	nyt-upshot-siena-26489	NYT Upshot/Siena	2016-10-23	2016-10-25		Likely Voters	824	3.4	Live Phone	Nonpartisan	None
42.0	49.0		1.0	9.0	nyt-upshot-siena-26489	NYT Upshot/Siena	2016-10-23	2016-10-25		Likely Voters	824	3.4	Live Phone	Nonpartisan	None
42.0	48.0	6.0	3.0	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	2131		Internet	Nonpartisan	None
43.0	46.0	6.0	3.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1709		Internet	Nonpartisan	None
46.0	50.0		4.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	371		Internet	Nonpartisan	None
42.0	45.0	5.0	1.0	7.0	remington-research-group-r-axiom-strategies-26424	Remington Research Group (R)/Axiom Strategies	2016-10-20	2016-10-22		Likely Voters	1997	4.19	IVR/Live Phone	Sponsor	Rep
39.0	49.0			12.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	1022		Internet	Nonpartisan	None
39.0	45.0		7.0	9.0	ipsos-reuters-26659	Ipsos/Reuters	2016-10-06	2016-10-17	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1467	2.9	Internet	Nonpartisan	None
38.0	45.0	6.0	3.0	8.0	ipsos-reuters-26659	Ipsos/Reuters	2016-10-06	2016-10-17	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	1467	2.9	Internet	Nonpartisan	None
41.0	47.0	6.0	2.0	4.0	quinnipiac-26217	Quinnipiac	2016-10-10	2016-10-16	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	660	3.8	Live Phone	Nonpartisan	None
