Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
47.0	43.0	8.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1698		Internet	Nonpartisan	None
53.0	42.0	5.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	338		Internet	Nonpartisan	None
46.0	44.0	8.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1642		Internet	Nonpartisan	None
49.0	44.0		7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	617		Internet	Nonpartisan	None
46.0	43.0	7.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1683		Internet	Nonpartisan	None
47.0	43.0	7.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1583		Internet	Nonpartisan	None
49.0	44.0		7.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	613		Internet	Nonpartisan	None
47.0	43.0	7.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1501		Internet	Nonpartisan	None
45.0	44.0	8.0	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1588		Internet	Nonpartisan	None
45.0	43.0	8.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1762		Internet	Nonpartisan	None
46.0	42.0	9.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1764		Internet	Nonpartisan	None
54.0	42.0	4.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	325		Internet	Nonpartisan	None
46.0	43.0	9.0	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	2115		Internet	Nonpartisan	None
49.0	44.0		7.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	604		Internet	Nonpartisan	None
45.0	43.0	9.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	2223		Internet	Nonpartisan	None
45.0	43.0	9.0	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	1900		Internet	Nonpartisan	None
46.0	43.0	8.0	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1582		Internet	Nonpartisan	None
53.0	42.0	5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	326		Internet	Nonpartisan	None
51.0	44.0		5.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	671		Internet	Nonpartisan	None
53.0	42.0	5.0		upi-cvoter-26328	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	323		Internet	Nonpartisan	None
49.0	46.0		5.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	751		Internet	Nonpartisan	None
53.0	42.0	5.0		upi-cvoter-26065	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	333		Internet	Nonpartisan	None
48.0	47.0		5.0	ipsos-reuters-26130	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	528		Internet	Nonpartisan	None
55.0	41.0	5.0		upi-cvoter-25937	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	574		Internet	Nonpartisan	None
49.0	44.0		7.0	ipsos-reuters-25883	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	519		Internet	Nonpartisan	None
42.0	38.0	9.0	11.0	winthrop-university-25802	Winthrop University	2016-09-18	2016-09-26		Likely Voters	475	4.5	Live Phone	Nonpartisan	None
54.0	41.0	5.0		upi-cvoter-25772	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	571		Internet	Nonpartisan	None
50.0	43.0		7.0	ipsos-reuters-25700	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	716		Internet	Nonpartisan	None
51.0	43.0		6.0	ipsos-reuters-25569	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	703		Internet	Nonpartisan	None
48.0	35.0	7.0	11.0	starboard-communications-r-scgop-25476	Starboard Communications (R- SCGOP)	2016-09-07	2016-09-09	If the election for U.S. President was held today, and you had to make a choice, for whom would you vote if the candidates were Donald Trump, the Republican; Hillary Clinton, the Democrat; or Gary Johnson the Libertarian?	Likely Voters	600	4.8	Live Phone	Pollster	Rep
49.0	42.0		8.0	washpost-surveymonkey-25389	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	894		Internet	Nonpartisan	None
45.0	38.0	13.0	4.0	washpost-surveymonkey-25389	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	894		Internet	Nonpartisan	None
39.0	39.0	6.0	16.0	feldman-d-south-carolina-democratic-party-25249	Feldman (D-South Carolina Democratic Party)	2016-08-18	2016-08-21	In the general election for President, the candidates are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election were held today, for whom would you vote?	Likely Voters	600	4.0	Live Phone	Sponsor	Dem
45.0	43.0		12.0	feldman-d-south-carolina-democratic-party-25249	Feldman (D-South Carolina Democratic Party)	2016-08-18	2016-08-21	Suppose there were only two candidates Democrat Hillary Clinton and Republican Donald Trump. If the election were held today, toward which candidate would you lean?	Likely Voters	600	4.0	Live Phone	Sponsor	Dem
46.0	42.0		12.0	gravis-marketing-25222	Gravis Marketing	2016-08-15	2016-08-17	If you had to vote today in a matchup between Hillary Clinton and Donald Trump, who would you vote for?	Registered Voters	768	3.5	IVR/Online	Nonpartisan	None
41.0	37.0	10.0	11.0	gravis-marketing-25222	Gravis Marketing	2016-08-15	2016-08-17	If you had to vote today in a matchup between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, who would you vote for?	Registered Voters	768	3.5	IVR/Online	Nonpartisan	None
41.0	39.0	7.0	13.0	ppp-d-25127	PPP (D)	2016-08-09	2016-08-10	The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?	Likely Voters	1290	2.7	IVR/Online	Pollster	Dem
44.0	41.0		15.0	morning-consult-campaign-for-sustainable-rx-pricing-23186	Morning Consult/Campaign for Sustainable Rx Pricing 	2015-11-10	2015-11-16		Registered Voters	627	4.0	Live Phone/Online	Nonpartisan	None
47.0	42.0		11.0	ppp-d-23160	PPP (D)	2015-11-07	2015-11-08		Likely Voters	1290	2.7	IVR/Online	Pollster	Dem
