Trump	Clinton	Undecided	Other	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
49.0	41.0	2.0	8.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
55.0	39.0		6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
49.0	40.0	2.0	9.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
50.0	36.0	14.0		ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	823		Internet	Nonpartisan	None
49.0	41.0	2.0	8.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
49.0	41.0	2.0	8.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
50.0	35.0	15.0		ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	803		Internet	Nonpartisan	None
50.0	41.0	1.0	8.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
51.0	40.0	1.0	7.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
51.0	38.0	2.0	8.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
51.0	39.0	2.0	7.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
57.0	38.0		5.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	339		Internet	Nonpartisan	None
51.0	38.0	2.0	9.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	565		Internet	Nonpartisan	None
43.0	35.0	22.0		ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	596		Internet	Nonpartisan	None
50.0	38.0	4.0	8.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	644		Internet	Nonpartisan	None
49.0	38.0	4.0	9.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	572		Internet	Nonpartisan	None
48.0	38.0	4.0	10.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	477		Internet	Nonpartisan	None
56.0	39.0		5.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	312		Internet	Nonpartisan	None
44.0	35.0	21.0		ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	636		Internet	Nonpartisan	None
44.0	34.0	8.0	14.0	icitizen-26285	ICITIZEN	2016-10-14	2016-10-17	If the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?	Registered Voters	508	4.4	Internet	Nonpartisan	None
56.0	39.0		5.0	upi-cvoter-26330	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	328		Internet	Nonpartisan	None
47.0	35.0	18.0		ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	799		Internet	Nonpartisan	None
55.0	39.0		6.0	upi-cvoter-26068	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	331		Internet	Nonpartisan	None
49.0	34.0	17.0		ipsos-reuters-26131	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	800		Internet	Nonpartisan	None
48.0	36.0	10.0	7.0	mtsu-25977	MTSU	2016-09-28	2016-10-02		Likely Voters	472	4.0	Live Phone	Nonpartisan	None
50.0	40.0	7.0	3.0	mtsu-25977	MTSU	2016-09-28	2016-10-02		Likely Voters	472	4.0	Live Phone	Nonpartisan	None
44.0	33.0	14.0	9.0	vanderbit-psra-25987	Vanderbit/PSRA	2016-09-19	2016-10-02		Registered Voters	1000	3.7	Live Phone	Nonpartisan	None
57.0	38.0		5.0	upi-cvoter-25939	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	555		Internet	Nonpartisan	None
47.0	35.0	18.0		ipsos-reuters-25884	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	712		Internet	Nonpartisan	None
57.0	38.0		5.0	upi-cvoter-25774	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	567		Internet	Nonpartisan	None
47.0	33.0	20.0		ipsos-reuters-25698	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	651		Internet	Nonpartisan	None
50.0	26.0	24.0		ipsos-reuters-25570	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	578		Internet	Nonpartisan	None
55.0	37.0	8.0		washpost-surveymonkey-25391	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	1021		Internet	Nonpartisan	None
51.0	31.0	5.0	13.0	washpost-surveymonkey-25391	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	1021		Internet	Nonpartisan	None
49.0	33.0	18.0		icitizen-25047	ICITIZEN	2016-07-25	2016-07-27	If the November 2016 general election for U.S. President were held today and these were the candidates, for whom would you vote?	Registered Voters	531		Internet	Nonpartisan	None
