Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
46.0	43.0	6.0	2.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
54.0	40.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	472		Internet	Nonpartisan	None
47.0	42.0	6.0	2.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
49.0	39.0			12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1213		Internet	Nonpartisan	None
47.0	42.0	6.0	5.0		surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
47.0	42.0	6.0	5.0		surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2322		Internet	Nonpartisan	None
49.0	40.0			11.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	1297		Internet	Nonpartisan	None
46.0	42.0	6.0	5.0		surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	2048		Internet	Nonpartisan	None
49.0	41.0		8.0	2.0	nbc-wsj-marist-26684	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	679	3.8	Live Phone	Nonpartisan	None
49.0	40.0	6.0	4.0	1.0	nbc-wsj-marist-26684	NBC/WSJ/Marist	2016-10-30	2016-11-01	If November's presidential election were held today, whom would you support if the candidates are:	Likely Voters	679	3.8	Live Phone	Nonpartisan	None
47.0	41.0	7.0	4.0		surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1969		Internet	Nonpartisan	None
47.0	41.0	8.0	5.0		surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	2051		Internet	Nonpartisan	None
46.0	42.0	7.0	5.0		surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1940		Internet	Nonpartisan	None
52.0	39.0	3.0	2.0	4.0	dixie-strategies-r-ktvt-cbs-11-26652	Dixie Strategies (R)/KTVT-CBS 11	2016-10-27	2016-10-29	If the Presidential election were held today, for whom would you vote?	Likely Voters	980	3.13	IVR/Live Phone	Pollster	Rep
55.0	41.0		5.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	429		Internet	Nonpartisan	None
47.0	40.0	8.0	6.0		surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	2377		Internet	Nonpartisan	None
48.0	34.0			18.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	1251		Internet	Nonpartisan	None
47.0	40.0	8.0	6.0		surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	2441		Internet	Nonpartisan	None
45.0	38.0	7.0		10.0	pulse-crosswind-26524	Pulse/Crosswind	2016-10-22	2016-10-24		Likely Voters	800	3.5	IVR/Online	Nonpartisan	None
47.0	40.0	8.0	6.0		surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	2148		Internet	Nonpartisan	None
47.0	39.0	8.0	6.0		surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	1764		Internet	Nonpartisan	None
54.0	41.0		5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	445		Internet	Nonpartisan	None
45.0	42.0	7.0	7.0		yougov-university-of-texas-texas-tribune-26496	YouGov/University of Texas/Texas Tribune	2016-10-14	2016-10-23	If the 2016 general election for U.S. president were held today, would you vote for the Republican ticket of Donald Trump and Mike Pence, the Democratic ticket of Hillary Clinton and Tim Kaine, the Libertarian ticket of Gary Johnson and William Weld, the Green Party ticket of Jill Stein and Ajamu Baraka, someone else, or haven’t you thought enough about it to have an opinion?	Likely Voters	959	3.16	Internet	Nonpartisan	None
46.0	43.0	5.0	3.0	3.0	cbs-yougov-26381	CBS/YouGov	2016-10-20	2016-10-21		Likely Voters	1031	4.4	Internet	Nonpartisan	None
52.0	39.0			9.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	758		Internet	Nonpartisan	None
