Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
41.0	45.0	4.0	2.0	8.0	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	940	3.2	Internet	Nonpartisan	None
6.0	89.0	1.0	0.0	4.0	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Democrat			Internet	Nonpartisan	None
82.0	7.0	3.0	2.0	6.0	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Republican			Internet	Nonpartisan	None
38.0	43.0	8.0	4.0	7.0	insights-west-26812	Insights West	2016-11-04	2016-11-07	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - independent			Internet	Nonpartisan	None
43.0	41.0	7.0	4.0	5.0	ibd-tipp-26811	IBD/TIPP	2016-11-04	2016-11-07		Likely Voters	1107	3.1	Live Phone	Nonpartisan	None
42.0	43.0		5.0	9.0	ibd-tipp-26811	IBD/TIPP	2016-11-04	2016-11-07		Likely Voters	1107	3.1	Live Phone	Nonpartisan	None
41.0	45.0	5.0	5.0	4.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters	3669		Internet	Nonpartisan	None
6.0	90.0	1.0	2.0	2.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Democrat	1392		Internet	Nonpartisan	None
84.0	4.0	4.0	4.0	4.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Republican	1110		Internet	Nonpartisan	None
44.0	31.0	9.0	9.0	8.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - independent	1167		Internet	Nonpartisan	None
45.0	49.0		7.0		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters	3669		Internet	Nonpartisan	None
6.0	91.0		2.0		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Democrat	1392		Internet	Nonpartisan	None
88.0	6.0		5.0		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - Republican	1110		Internet	Nonpartisan	None
49.0	38.0		13.0		yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters - independent	1167		Internet	Nonpartisan	None
40.0	45.0	5.0	2.0	7.0	lucid-the-times-picayune-26788	Lucid/The Times-Picayune	2016-11-04	2016-11-06		Likely Voters	931		Internet	Nonpartisan	None
43.0	46.0		5.0	6.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
6.0	86.0		3.0	5.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - Democrat			Live Phone	Nonpartisan	None
85.0	5.0		6.0	4.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - Republican			Live Phone	Nonpartisan	None
44.0	38.0		10.0	8.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?	Likely Voters - independent			Live Phone	Nonpartisan	None
41.0	44.0	4.0	2.0	8.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06	If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	799	3.5	Live Phone	Nonpartisan	None
43.0	47.0	4.0	4.0	1.0	abc-post-26799	ABC/Post	2016-11-03	2016-11-06		Likely Voters	2220	2.5	Live Phone	Nonpartisan	None
46.0	49.0		3.0	2.0	abc-post-26799	ABC/Post	2016-11-03	2016-11-06		Likely Voters	2220	2.5	Live Phone	Nonpartisan	None
