Trump	Clinton	McMullin	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
34.0	31.0	25.0	7.0	2.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
43.0	28.0			29.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
34.0	31.0	25.0	6.0	3.0	1.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
40.0	33.0				27.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	532		Internet	Nonpartisan	None
40.0	23.0	24.0	7.0	3.0	4.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
34.0	30.0	25.0	6.0	3.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1406		Internet	Nonpartisan	None
33.0	24.0	28.0	5.0	4.0	7.0	y2-analytics-r-26718	Y2 Analytics (R)	2016-11-01	2016-11-03	If the November election for the President of the United States were being held today, and the candidates were Donald Trump, the Republican candidate; Hillary Clinton, the Democrat candidate; Gary Johnson, the Libertarian candidate; Jill Stein, the Green Party candidate; and Evan McMullin, the Independent candidate; if you had to choose, who would you vote for?	Likely Voters	500	4.38	Live Phone	Pollster	Rep
33.0	30.0	26.0	7.0	2.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1327		Internet	Nonpartisan	None
40.0	33.0				27.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	500		Internet	Nonpartisan	None
37.0	31.0	24.0	4.0	2.0	2.0	monmouth-university-26671	Monmouth University	2016-10-30	2016-11-02	If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, Jill Stein of the Green Party, or independent candidate Evan McMullin?	Likely Voters	402	4.9	Live Phone	Nonpartisan	None
33.0	30.0	25.0	8.0	2.0	1.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1247		Internet	Nonpartisan	None
34.0	30.0	26.0	7.0	2.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1057		Internet	Nonpartisan	None
42.0	31.0	21.0	3.0	2.0	2.0	rasmussen-heat-street-26681	Rasmussen/Heat Street	2016-10-29	2016-10-31		Likely Voters	750	4.0	IVR/Online	Nonpartisan	None
33.0	30.0	26.0	7.0	2.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1078		Internet	Nonpartisan	None
33.0	30.0	26.0	7.0	2.0	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	988		Internet	Nonpartisan	None
66.0	29.0			6.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	315		Internet	Nonpartisan	None
33.0	30.0	27.0	7.0	1.0	1.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1080		Internet	Nonpartisan	None
32.0	24.0	30.0	4.0	1.0	8.0	dan-jones-salt-lake-tribune-hinckley-institute-26554	Dan Jones/Salt Lake Tribune/Hinckley Institute	2016-10-20	2016-10-27	If the November general election for  president of the United States were today, whom would you vote for?	Likely Voters	823	3.42	Live Phone/Online	Nonpartisan	None
44.0	31.0				25.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	297		Internet	Nonpartisan	None
32.0	29.0	29.0	7.0	1.0	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	1069		Internet	Nonpartisan	None
32.0	28.0	29.0	4.0	2.0	4.0	rasmussen-heat-street-26446	Rasmussen/Heat Street	2016-10-23	2016-10-24		Likely Voters	750	4.0	IVR/Online	Nonpartisan	None
33.0	28.0	29.0	7.0	1.0	1.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	969		Internet	Nonpartisan	None
33.0	29.0	29.0	7.0	1.0	1.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	787		Internet	Nonpartisan	None
65.0	29.0			6.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	308		Internet	Nonpartisan	None
41.0	29.0				30.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	508		Internet	Nonpartisan	None
30.0	28.0	29.0	5.0	3.0	4.0	rasmussen-heat-street-26207	Rasmussen/Heat Street	2016-10-14	2016-10-16		Likely Voters	750	4.0	IVR/Online	Nonpartisan	None
65.0	29.0			5.0		upi-cvoter-26332	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	318		Internet	Nonpartisan	None
