Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
41.0	49.0	7.0	2.0	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2183		Internet	Nonpartisan	None
42.0	48.0	3.0	3.0	5.0	christopher-newport-26772	Christopher Newport	2016-11-01	2016-11-06	If the election for president were held TODAY and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, Jill Stein the Green, or Evan McMullin the Independent, for whom would you vote?	Likely Voters	1193	3.6	Live Phone	Nonpartisan	None
44.0	50.0		7.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	344		Internet	Nonpartisan	None
39.0	49.0	7.0	2.0	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2109		Internet	Nonpartisan	None
41.0	46.0			13.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	636		Internet	Nonpartisan	None
43.0	48.0	4.0	2.0	4.0	ppp-d-26723	PPP (D)	2016-11-03	2016-11-04	The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?	Likely Voters	1238	2.8	IVR/Online	Pollster	Dem
45.0	51.0			4.0	ppp-d-26723	PPP (D)	2016-11-03	2016-11-04	If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?	Likely Voters	1238	2.8	IVR/Online	Pollster	Dem
39.0	49.0	7.0	2.0	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2183		Internet	Nonpartisan	None
40.0	48.0	7.0	2.0	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2073		Internet	Nonpartisan	None
42.0	49.0			9.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	664		Internet	Nonpartisan	None
44.0	46.0	4.0	2.0	3.0	remington-research-group-r-axiom-strategies-26759	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	3076	1.77	IVR/Live Phone	Sponsor	Rep
40.0	48.0	7.0	3.0	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1942		Internet	Nonpartisan	None
38.0	45.0	5.0	3.0	9.0	roanoke-college-26693	Roanoke College	2016-10-29	2016-11-01		Likely Voters	654	3.8	Live Phone	Nonpartisan	None
40.0	49.0			11.0	roanoke-college-26693	Roanoke College	2016-10-29	2016-11-01		Likely Voters	654	3.8	Live Phone	Nonpartisan	None
39.0	49.0	7.0	3.0	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1929		Internet	Nonpartisan	None
38.0	48.0	8.0	3.0	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	2089		Internet	Nonpartisan	None
43.0	48.0	3.0	1.0	5.0	remington-research-group-r-axiom-strategies-26568	Remington Research Group (R)/Axiom Strategies	2016-10-30	2016-10-30		Likely Voters	1106	2.94	IVR/Live Phone	Sponsor	Rep
42.0	48.0	6.0	4.0	1.0	washington-post-gmu-26589	Washington Post/GMU	2016-10-27	2016-10-30		Likely Voters	1024	3.5	Live Phone	Nonpartisan	None
45.0	51.0		2.0	3.0	washington-post-gmu-26589	Washington Post/GMU	2016-10-27	2016-10-30		Likely Voters	1024	3.5	Live Phone	Nonpartisan	None
44.0	41.0			15.0	hampton-university-26636	Hampton University	2016-10-26	2016-10-30	If the election were held today, for whom would you vote:	Likely Voters	802	4.57	Live Phone	Nonpartisan	None
