Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
42.0	44.0	7.0	4.0	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
43.0	51.0		6.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	372		Internet	Nonpartisan	None
43.0	44.0	7.0	4.0	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
40.0	46.0			14.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	842		Internet	Nonpartisan	None
43.0	44.0	7.0	3.0	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
43.0	45.0	7.0	3.0	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
40.0	47.0			13.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	884		Internet	Nonpartisan	None
41.0	49.0	3.0	3.0	4.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
42.0	44.0	7.0	3.0	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
38.0	44.0	7.0	2.0	9.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
41.0	48.0			10.0	ppp-d-center-for-american-progress-action-fund-26700	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?	Likely Voters	891	3.3	IVR/Online	Sponsor	Dem
42.0	44.0	8.0	3.0	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1103		Internet	Nonpartisan	None
40.0	46.0		10.0	4.0	marquette-law-school-26627	Marquette Law School	2016-10-26	2016-10-31	If the election for president were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian and Jill Stein the Green Party, for whom would you vote?	Likely Voters	1255	3.5	Live Phone	Nonpartisan	None
42.0	44.0	7.0	4.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1195		Internet	Nonpartisan	None
42.0	46.0	4.0	3.0	5.0	remington-research-group-r-axiom-strategies-26560	Remington Research Group (R)/Axiom Strategies	2016-10-30	2016-10-30		Likely Voters	1772	2.86	IVR/Live Phone	Sponsor	Rep
41.0	45.0	8.0	4.0	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1059		Internet	Nonpartisan	None
46.0	51.0		3.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	365		Internet	Nonpartisan	None
42.0	43.0	8.0	4.0	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1338		Internet	Nonpartisan	None
