Trump	Clinton	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
56.0	29.0	10.0	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	472		Internet	Nonpartisan	None
56.0	34.0	10.0		upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	309		Internet	Nonpartisan	None
57.0	27.0	11.0	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	443		Internet	Nonpartisan	None
58.0	34.0		8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	422		Internet	Nonpartisan	None
57.0	27.0	10.0	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	433		Internet	Nonpartisan	None
57.0	27.0	10.0	6.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	386		Internet	Nonpartisan	None
58.0	35.0		7.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	408		Internet	Nonpartisan	None
59.0	27.0	8.0	5.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	330		Internet	Nonpartisan	None
55.0	29.0	12.0	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	318		Internet	Nonpartisan	None
58.0	27.0	12.0	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	321		Internet	Nonpartisan	None
59.0	27.0	12.0	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	294		Internet	Nonpartisan	None
59.0	36.0	5.0		upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	311		Internet	Nonpartisan	None
61.0	28.0	10.0	1.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
56.0	37.0		7.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	294		Internet	Nonpartisan	None
60.0	29.0	10.0	1.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	410		Internet	Nonpartisan	None
61.0	29.0	9.0	1.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	379		Internet	Nonpartisan	None
61.0	28.0	11.0	0.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	316		Internet	Nonpartisan	None
59.0	36.0	5.0		upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
56.0	39.0		5.0	ipsos-reuters-26407	Ipsos/Reuters	2016-09-30	2016-10-20		Likely Voters	324		Internet	Nonpartisan	None
58.0	36.0	6.0		upi-cvoter-26337	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	310		Internet	Nonpartisan	None
54.0	41.0		5.0	ipsos-reuters-26344	Ipsos/Reuters	2016-09-23	2016-10-13		Likely Voters	360		Internet	Nonpartisan	None
58.0	37.0	6.0		upi-cvoter-26046	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	308		Internet	Nonpartisan	None
55.0	36.0		9.0	ipsos-reuters-26136	Ipsos/Reuters	2016-09-16	2016-10-06		Likely Voters	371		Internet	Nonpartisan	None
61.0	34.0	5.0		upi-cvoter-25945	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	480		Internet	Nonpartisan	None
53.0	33.0		14.0	ipsos-reuters-25889	Ipsos/Reuters	2016-09-09	2016-09-29		Likely Voters	351		Internet	Nonpartisan	None
59.0	35.0	6.0		upi-cvoter-25780	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	466		Internet	Nonpartisan	None
52.0	35.0		13.0	ipsos-reuters-25688	Ipsos/Reuters	2016-09-02	2016-09-22		Likely Voters	301		Internet	Nonpartisan	None
60.0	28.0		12.0	garin-hart-yang-d-reynolds-25975	Garin-Hart-Yang (D-Reynolds)	2016-09-13	2016-09-17	The candidates in the November election for president are Hillary Clinton, the Democrat, and Donald Trump, the Republican. Given this choice, would you vote for Hillary Clinton or Donald Trump?	Likely Voters	500	5.0	Live Phone	Sponsor	Dem
49.0	39.0		12.0	ipsos-reuters-25575	Ipsos/Reuters	2016-08-26	2016-09-15		Likely Voters	295		Internet	Nonpartisan	None
57.0	33.0		10.0	washpost-surveymonkey-25395	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	698		Internet	Nonpartisan	None
52.0	27.0	16.0	5.0	washpost-surveymonkey-25395	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	698		Internet	Nonpartisan	None
49.0	31.0	14.0	6.0	r-l-repass-partners-metronews-25325	R.L. Repass & Partners/MetroNews	2016-08-09	2016-08-28		Likely Voters	435	4.7	Mixed	Nonpartisan	None
57.0	30.0		13.0	ppp-d-24437	PPP (D)	2016-04-29	2016-05-01		Likely Voters	1201	2.8	IVR/Online	Pollster	Dem
53.0	30.0		17.0	orion-22627	Orion	2015-08-24	2015-08-25		Likely Voters	406	4.9	Live Phone	Nonpartisan	None
