name,abbr,electoral_votes
Alabama,AL,9
Alaska,AK,3
Arizona,AZ,11
Arkansas,AR,6
California,CA,55
Colorado,CO,9
Connecticut,CT,7
Delaware,DE,3
Florida,FL,29
Georgia,GA,16
Hawaii,HI,4
Idaho,ID,4
Illinois,IL,20
Indiana,IN,11
Iowa,IA,6
Kansas,KS,6
Kentucky,KY,8
Louisiana,LA,8
Maine,ME,4
Maryland,MD,10
Massachusetts,MA,11
Michigan,MI,16
Minnesota,MN,10
Mississippi,MS,6
Missouri,MO,10
Montana,MT,3
Nebraska,NE,5
Nevada,NV,6
New Hampshire,NH,4
New Jersey,NJ,14
New Mexico,NM,5
New York,NY,29
North Carolina,NC,15
North Dakota,ND,3
Ohio,OH,18
Oklahoma,OK,7
Oregon,OR,7
Pennsylvania,PA,20
Rhode Island,RI,4
South Carolina,SC,9
South Dakota,SD,3
Tennessee,TN,11
Texas,TX,38
Utah,UT,6
Vermont,VT,3
Virginia,VA,13
Washington,WA,12
West Virginia,WV,5
Wisconsin,WI,10
Wyoming,WY,3
